# dataset=entso_e_eic_directory
# created_at=2026-08-13T01:15:13Z
# source=https://eepublicdownloads.blob.core.windows.net/cio-lio/xml/allocated-eic-codes.xml
# source_sha256=b53840e8e377b11d12c63241a6a06e68ee36c221897930dae97c0c6ff1903a98
# record_count=76256
# active_record_count=72916
# inactive_record_count=3340
eic_code	status
10T-DK-NL-000012	active
10T-DK-NO-00001F	active
10T-DK-NO-00002D	active
10T-DK-NO-00003B	active
10T-DK-NO-000049	active
10T-DK-NO-001231	active
10T-DK-SE-00001D	active
10T-DK-SE-00002B	active
10T-DK-SE-000039	active
10T-DK-SE-000047	active
10T-DK-SE-000055	active
10T-DK-SE-000063	active
10T-EE-LV-00001V	active
10T-EE-LV-00002T	active
10T-EE-RU-00001M	active
10T-EE-RU-00002K	active
10T-EE-RU-00003I	active
10T-ES-FR-000010	active
10T-ES-FR-00002Z	active
10T-ES-FR-00003X	active
10T-ES-FR-00004V	active
10T-ES-FR-00005T	active
10T-ES-FR-00006R	active
10T-ES-FR-00007P	active
10T-ES-FR-00008N	active
10T-ES-FR-00009L	active
10T-ES-MA-00002Y	active
10T-ES-MA-10001U	active
10T-ES-PT-000015	active
10T-ES-PT-000023	active
10T-ES-PT-000031	active
10T-ES-PT-00005Y	active
10T-ES-PT-00006W	active
10T-ES-PT-00007U	active
10T-ES-PT-00008S	active
10T-ES-PT-00009Q	active
10T-ES-PT-000104	active
10T-ES-PT-000112	active
10T-ES-PT-000120	active
10T-ES-PT-00013Z	active
10T-ES-PT-10004U	active
10T-FI-EE-00001Q	active
10T-FI-EE-00002O	active
10T-FI-NO-00001D	active
10T-FI-NO-00002B	inactive
10T-FI-RU-000013	active
10T-FI-RU-000021	active
10T-FI-RU-00004Y	active
10T-FI-RU-00005W	active
10T-FI-RU-00006U	active
10T-FR-ES-000002	active
10T-FR-ES-000010	active
10T-FR-GB-000017	active
10T-FR-GB-000025	active
10T-FR-GB-000041	active
10T-FR-IT-00001U	active
10T-FR-IT-00002S	active
10T-FR-IT-00003Q	active
10T-FR-IT-00004O	active
10T-FR-IT-00006K	active
10T-FR-IT-00007I	active
10T-GB-IE-00001I	active
10T-GB-NI-00001F	active
10T-GB-NL-00001S	active
