# source=https://www.bundesbank.de/resource/blob/926192/b27b518a016ea7ca7af321eb7289fcf4/472B63F073F071307366337C94F8C870/blz-aktuell-csv-data.csv
# source_sha256=3a5484358b326d6d9ed8bea003601a7d79abbc100cdb81fd0d30e0c8a21898a6
# valid_from=2026-06-08
# valid_to=2026-09-06
# synthetic_non_routable_bank_code=00000000
bank_code,bic,change_marker,deletion_flag,successor_bank_code
15080000,DRESDEFF150,U,0,00000000
15091674,GENODEF1DM1,U,0,00000000
15091704,GENODEF1PZ1,U,0,00000000
16010300,ILBXDE8XXXX,U,0,00000000
16020086,HYVEDEMM470,U,0,00000000
16040000,COBADEFFXXX,U,0,00000000
16050000,WELADED1PMB,U,0,00000000
16050101,WELADED1PRP,U,0,00000000
16050202,WELADED1OPR,U,0,00000000
16050500,LBSODEB1XXX,U,0,00000000
16060122,GENODEF1PER,U,0,00000000
16061938,GENODEF1NPP,U,0,00000000
16062008,GENODEF1LUK,U,0,00000000
16062073,GENODEF1BRB,U,0,00000000
16080000,DRESDEFF160,U,0,00000000
16091994,GENODEF1RN1,U,0,00000000
17020086,HYVEDEMM471,U,0,00000000
17040000,COBADEFFXXX,U,0,00000000
17052000,WELADED1GZE,U,0,00000000
17052302,WELADED1UMX,U,0,00000000
17054040,WELADED1MOL,U,0,00000000
17055050,WELADED1LOS,U,0,00000000
17056060,WELADED1UMP,U,0,00000000
17062428,GENODEF1BKW,U,0,00000000
17080000,DRESDEFF170,U,0,00000000
17092404,GENODEF1FW1,U,0,00000000
18020086,HYVEDEMM472,U,0,00000000
18040000,COBADEFFXXX,U,0,00000000
18050000,WELADED1CBN,U,0,00000000
18051000,WELADED1EES,U,0,00000000
18055000,WELADED1OSL,U,0,00000000
18062678,GENODEF1FWA,U,0,00000000
18062758,GENODEF1FOR,U,1,00000000
18080000,DRESDEFF180,U,0,00000000
18092684,GENODEF1LN1,U,0,00000000
18092744,GENODEF1SPM,U,0,00000000
20000000,MARKDEF1200,U,0,00000000
20010020,PBNKDEFFXXX,U,0,00000000
20010424,AARBDE5W200,U,0,00000000
20020200,ESSEDEFFHAM,U,0,00000000
20020500,JYBADEHHXXX,U,0,00000000
20020900,SIBSDEHHXXX,U,0,00000000
20030000,HYVEDEMM300,U,0,00000000
20030133,VGAGDEHHXXX,M,0,00000000
20030300,CHDBDEHHXXX,U,0,00000000
20030301,CHDBDEHHXXX,U,0,00000000
20030400,MCRDDEHHXXX,U,0,00000000
20030600,SYBKDE22HAM,U,0,00000000
20030700,MEFIDEMM200,U,0,00000000
20040000,COBADEHHXXX,U,0,00000000
20040005,COBADEHHXXX,U,0,00000000
20040020,COBADEFFXXX,U,0,00000000
20040040,COBADEFFXXX,U,0,00000000
20040048,COBADEFFXXX,U,0,00000000
20040050,COBADEFFXXX,U,0,00000000
20040060,COBADEFFXXX,U,0,00000000
20040061,COBADEFFXXX,U,0,00000000
20040062,COBADEFFXXX,U,0,00000000
20040063,COBADEFFXXX,U,0,00000000
20041111,COBADEHDXXX,U,0,00000000
20041133,COBADEHD001,U,0,00000000
20041144,COBADEHD044,U,0,00000000
